init_id,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications,sku
111WS002,,,,,False,,,,
35-112-01,,,,,False,,,,{350: 'SD22103'}
40-414,,,,,False,,,,{470: 'SD53816'}
40-414,,,,,False,,,,{471: 'SD53817'}
46-112-90,,,,,False,,,,{1089: 'SD00002776'}
49-403-0,,,,,False,,,,{1167: 'SD8659'}
49-403-0,,,,,False,,,,{1168: 'SD69588'}
49-403-0,,,,,False,,,,{1169: 'SD69589'}
49-403-0,,,,,False,,,,{1170: 'SD00008868'}
49-403-1,,,,,False,,,,{1171: 'SD8660'}
49-403-1,,,,,False,,,,{1172: 'SD69590'}
49-403-1,,,,,False,,,,{1173: 'SD69591'}
49-403-2,,,,,False,,,,{1174: 'SD8661'}
49-403-2,,,,,False,,,,{1175: 'SD69599'}
49-403-2,,,,,False,,,,{1176: 'SD69600'}
49-403-2,,,,,False,,,,{1177: 'SD69602'}
49-403-3,,,,,False,,,,{1178: 'SD69601'}
62-101-1,,,,,False,,,,{1192: 'SD3551'}
62-102-1,,,,,False,,,,{1193: 'SD3904'}
62-103-1,,,,,False,,,,{1194: 'SD3536'}
62-104-1,,,,,False,,,,{1195: 'SD1766'}
62-105-1,,,,,False,,,,{1196: 'SD1779'}
62-107-1,,,,,False,,,,{1197: 'SD513338306'}
62-203-2,,,,,False,,,,{1198: 'SD31844'}
62-208-1,,,,,False,,,,{1199: 'SD78172'}
62-211-0,,,,,False,,,,{1200: 'SD00004903'}
62-212-1,,,,,False,,,,{1201: 'SD31658'}
62-301-1,,,,,False,,,,{1202: 'SD78194'}
62-303-1,,,,,False,,,,{1203: 'SD78201'}
62-306-1,,,,,False,,,,{1205: 'SD33372'}
62-307-1,,,,,False,,,,{1206: 'SD00004509'}
62-310-1,,,,,False,,,,{1208: 'SD1272'}
62-401A-2,,,,,False,,,,{1209: 'SD3446'}
62-402X-1,,,,,False,,,,{1210: 'SD3488'}
62-404-1,,,,,False,,,,{1211: 'SD2616'}
62-405-1,,,,,False,,,,{1212: 'SD2635'}
85-802,,,,,False,,,,{1312: 'SD11846'}
85-805,,,,,False,,,,{1313: 'SD11852'}
85-807,,,,,False,,,,{1314: 'SD12941'}
85-809,,,,,False,,,,{1315: 'SD12945'}
85-820,,,,,False,,,,{1316: 'SD12954'}
